order_id,user_key,paid_at,campaign_id,variant,channel,location_id,audience,status,gross_cents,merchant_discount_cents,platform_discount_cents,refund_cents,cost_cents
byte_full_funnel_sale_base_o_0016,byte_full_funnel_sale_base_u_0016,2026-06-07T14:16:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0017,byte_full_funnel_sale_base_u_0017,2026-06-08T15:17:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0018,byte_full_funnel_sale_base_u_0018,2026-06-09T16:18:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0019,byte_full_funnel_sale_base_u_0019,2026-06-10T17:19:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0020,byte_full_funnel_sale_base_u_0020,2026-06-11T18:20:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0021,byte_full_funnel_sale_base_u_0021,2026-06-05T19:21:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0022,byte_full_funnel_sale_base_u_0022,2026-06-06T09:22:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0023,byte_full_funnel_sale_base_u_0023,2026-06-07T10:23:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0024,byte_full_funnel_sale_base_u_0024,2026-06-08T11:24:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0025,byte_full_funnel_sale_base_u_0025,2026-06-09T12:25:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0026,byte_full_funnel_sale_base_u_0026,2026-06-10T13:26:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0027,byte_full_funnel_sale_base_u_0027,2026-06-11T14:27:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0028,byte_full_funnel_sale_base_u_0028,2026-06-05T15:28:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0029,byte_full_funnel_sale_base_u_0029,2026-06-06T16:29:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0030,byte_full_funnel_sale_base_u_0030,2026-06-07T17:30:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0031,byte_full_funnel_sale_base_u_0031,2026-06-08T18:31:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0032,byte_full_funnel_sale_base_u_0032,2026-06-09T19:32:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0033,byte_full_funnel_sale_base_u_0033,2026-06-10T09:33:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0034,byte_full_funnel_sale_base_u_0034,2026-06-11T10:34:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0035,byte_full_funnel_sale_base_u_0035,2026-06-05T11:35:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0036,byte_full_funnel_sale_base_u_0036,2026-06-06T12:36:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0037,byte_full_funnel_sale_base_u_0037,2026-06-07T13:37:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,500,4700
byte_full_funnel_sale_base_o_0038,byte_full_funnel_sale_base_u_0038,2026-06-08T14:38:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0039,byte_full_funnel_sale_base_u_0039,2026-06-09T15:39:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0040,byte_full_funnel_sale_base_u_0040,2026-06-10T16:40:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0041,byte_full_funnel_sale_base_u_0041,2026-06-11T17:41:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0042,byte_full_funnel_sale_base_u_0042,2026-06-05T18:42:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0043,byte_full_funnel_sale_base_u_0043,2026-06-06T19:43:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0044,byte_full_funnel_sale_base_u_0044,2026-06-07T09:44:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0045,byte_full_funnel_sale_base_u_0045,2026-06-08T10:45:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0046,byte_full_funnel_sale_base_u_0046,2026-06-09T11:46:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0047,byte_full_funnel_sale_base_u_0047,2026-06-10T12:47:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0048,byte_full_funnel_sale_base_u_0048,2026-06-11T13:48:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0049,byte_full_funnel_sale_base_u_0049,2026-06-05T14:49:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0050,byte_full_funnel_sale_base_u_0050,2026-06-06T15:50:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0051,byte_full_funnel_sale_base_u_0051,2026-06-07T16:51:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0052,byte_full_funnel_sale_base_u_0052,2026-06-08T17:52:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0053,byte_full_funnel_sale_base_u_0053,2026-06-09T18:53:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0054,byte_full_funnel_sale_base_u_0054,2026-06-10T19:54:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0055,byte_full_funnel_sale_base_u_0055,2026-06-11T09:55:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0056,byte_full_funnel_sale_base_u_0056,2026-06-05T10:56:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0057,byte_full_funnel_sale_base_u_0057,2026-06-06T11:57:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0058,byte_full_funnel_sale_base_u_0058,2026-06-07T12:58:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0059,byte_full_funnel_sale_base_u_0059,2026-06-08T13:59:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0060,byte_full_funnel_sale_base_u_0060,2026-06-09T14:00:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0061,byte_full_funnel_sale_base_u_0061,2026-06-10T15:01:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0062,byte_full_funnel_sale_base_u_0062,2026-06-11T16:02:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0063,byte_full_funnel_sale_base_u_0063,2026-06-05T17:03:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0064,byte_full_funnel_sale_base_u_0064,2026-06-06T18:04:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0065,byte_full_funnel_sale_base_u_0065,2026-06-07T19:05:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0066,byte_full_funnel_sale_base_u_0066,2026-06-08T09:06:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0067,byte_full_funnel_sale_base_u_0067,2026-06-09T10:07:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0068,byte_full_funnel_sale_base_u_0068,2026-06-10T11:08:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0069,byte_full_funnel_sale_base_u_0069,2026-06-11T12:09:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0070,byte_full_funnel_sale_base_u_0070,2026-06-05T13:10:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0071,byte_full_funnel_sale_base_u_0071,2026-06-06T14:11:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0072,byte_full_funnel_sale_base_u_0072,2026-06-07T15:12:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0073,byte_full_funnel_sale_base_u_0073,2026-06-08T16:13:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0074,byte_full_funnel_sale_base_u_0074,2026-06-09T17:14:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,500,4700
byte_full_funnel_sale_base_o_0075,byte_full_funnel_sale_base_u_0075,2026-06-10T18:15:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0076,byte_full_funnel_sale_base_u_0076,2026-06-11T19:16:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0077,byte_full_funnel_sale_base_u_0077,2026-06-05T09:17:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0078,byte_full_funnel_sale_base_u_0078,2026-06-06T10:18:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0079,byte_full_funnel_sale_base_u_0079,2026-06-07T11:19:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0080,byte_full_funnel_sale_base_u_0080,2026-06-08T12:20:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0081,byte_full_funnel_sale_base_u_0081,2026-06-09T13:21:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0082,byte_full_funnel_sale_base_u_0082,2026-06-10T14:22:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0083,byte_full_funnel_sale_base_u_0083,2026-06-11T15:23:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0084,byte_full_funnel_sale_base_u_0084,2026-06-05T16:24:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0085,byte_full_funnel_sale_base_u_0085,2026-06-06T17:25:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0086,byte_full_funnel_sale_base_u_0086,2026-06-07T18:26:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0087,byte_full_funnel_sale_base_u_0087,2026-06-08T19:27:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0088,byte_full_funnel_sale_base_u_0088,2026-06-09T09:28:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0089,byte_full_funnel_sale_base_u_0089,2026-06-10T10:29:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0090,byte_full_funnel_sale_base_u_0090,2026-06-11T11:30:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0091,byte_full_funnel_sale_base_u_0091,2026-06-05T12:31:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0092,byte_full_funnel_sale_base_u_0092,2026-06-06T13:32:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0093,byte_full_funnel_sale_base_u_0093,2026-06-07T14:33:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0094,byte_full_funnel_sale_base_u_0094,2026-06-08T15:34:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0095,byte_full_funnel_sale_base_u_0095,2026-06-09T16:35:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0096,byte_full_funnel_sale_base_u_0096,2026-06-10T17:36:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0097,byte_full_funnel_sale_base_u_0097,2026-06-11T18:37:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0098,byte_full_funnel_sale_base_u_0098,2026-06-05T19:38:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0099,byte_full_funnel_sale_base_u_0099,2026-06-06T09:39:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0100,byte_full_funnel_sale_base_u_0100,2026-06-07T10:40:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0101,byte_full_funnel_sale_base_u_0101,2026-06-08T11:41:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0102,byte_full_funnel_sale_base_u_0102,2026-06-09T12:42:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0103,byte_full_funnel_sale_base_u_0103,2026-06-10T13:43:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0104,byte_full_funnel_sale_base_u_0104,2026-06-11T14:44:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0105,byte_full_funnel_sale_base_u_0105,2026-06-05T15:45:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0106,byte_full_funnel_sale_base_u_0106,2026-06-06T16:46:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0107,byte_full_funnel_sale_base_u_0107,2026-06-07T17:47:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0108,byte_full_funnel_sale_base_u_0108,2026-06-08T18:48:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0109,byte_full_funnel_sale_base_u_0109,2026-06-09T19:49:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0110,byte_full_funnel_sale_base_u_0110,2026-06-10T09:50:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0111,byte_full_funnel_sale_base_u_0111,2026-06-11T10:51:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,500,4700
byte_full_funnel_sale_o_0003,byte_full_funnel_sale_u_0003,2026-06-15T12:07:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0011,byte_full_funnel_sale_u_0011,2026-06-16T09:15:00,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0015,byte_full_funnel_sale_u_0015,2026-06-13T13:19:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0018,byte_full_funnel_sale_u_0018,2026-06-16T16:22:00,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0053,byte_full_funnel_sale_u_0053,2026-06-16T18:57:00,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0057,byte_full_funnel_sale_u_0057,2026-06-13T12:01:00,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0062,byte_full_funnel_sale_u_0062,2026-06-18T16:06:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0063,byte_full_funnel_sale_u_0063,2026-06-12T17:07:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0066,byte_full_funnel_sale_u_0066,2026-06-15T09:10:00,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0072,byte_full_funnel_sale_u_0072,2026-06-14T15:16:00,byte_full_funnel_sale,单件直降,short_video,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0081,byte_full_funnel_sale_u_0081,2026-06-16T13:25:00,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0091,byte_full_funnel_sale_u_0091,2026-06-12T12:35:00,byte_full_funnel_sale,直播组合包,short_video,regional_store,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0109,byte_full_funnel_sale_u_0109,2026-06-16T19:53:00,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0110,byte_full_funnel_sale_u_0110,2026-06-17T09:54:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0111,byte_full_funnel_sale_u_0111,2026-06-18T10:55:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0115,byte_full_funnel_sale_u_0115,2026-06-15T14:59:00,byte_full_funnel_sale,直播组合包,short_video,regional_store,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0163,byte_full_funnel_sale_u_0163,2026-06-14T18:47:00,byte_full_funnel_sale,直播组合包,short_video,regional_store,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0174,byte_full_funnel_sale_u_0174,2026-06-18T18:58:00,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0176,byte_full_funnel_sale_u_0176,2026-06-13T10:00:00,byte_full_funnel_sale,单件直降,live_room,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0177,byte_full_funnel_sale_u_0177,2026-06-14T11:01:00,byte_full_funnel_sale,直播组合包,live_room,regional_store,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0182,byte_full_funnel_sale_u_0182,2026-06-12T15:06:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0184,byte_full_funnel_sale_u_0184,2026-06-14T17:08:00,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0217,byte_full_funnel_sale_u_0217,2026-06-12T17:41:00,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0218,byte_full_funnel_sale_u_0218,2026-06-13T18:42:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0219,byte_full_funnel_sale_u_0219,2026-06-14T19:43:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0222,byte_full_funnel_sale_u_0222,2026-06-17T11:46:00,byte_full_funnel_sale,单件直降,short_video,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0226,byte_full_funnel_sale_u_0226,2026-06-14T15:50:00,byte_full_funnel_sale,单件直降,mall,regional_store,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0227,byte_full_funnel_sale_u_0227,2026-06-15T16:51:00,byte_full_funnel_sale,直播组合包,mall,regional_store,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0242,byte_full_funnel_sale_u_0242,2026-06-16T09:06:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0245,byte_full_funnel_sale_u_0245,2026-06-12T12:09:00,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0250,byte_full_funnel_sale_u_0250,2026-06-17T17:14:00,byte_full_funnel_sale,单件直降,mall,regional_store,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0252,byte_full_funnel_sale_u_0252,2026-06-12T19:16:00,byte_full_funnel_sale,单件直降,short_video,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0296,byte_full_funnel_sale_u_0296,2026-06-14T20:00:00,byte_full_funnel_sale,单件直降,live_room,regional_store,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0298,byte_full_funnel_sale_u_0298,2026-06-16T11:02:00,byte_full_funnel_sale,单件直降,mall,regional_store,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0304,byte_full_funnel_sale_u_0304,2026-06-15T16:08:00,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0305,byte_full_funnel_sale_u_0305,2026-06-16T17:09:00,byte_full_funnel_sale,直播组合包,mall,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0328,byte_full_funnel_sale_u_0328,2026-06-18T18:32:00,byte_full_funnel_sale,单件直降,mall,online_flagship,returning_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0337,byte_full_funnel_sale_u_0337,2026-06-13T16:41:00,byte_full_funnel_sale,直播组合包,short_video,online_flagship,new_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0348,byte_full_funnel_sale_u_0348,2026-06-17T16:52:00,byte_full_funnel_sale,单件直降,short_video,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0398,byte_full_funnel_sale_u_0398,2026-06-18T11:42:00,byte_full_funnel_sale,单件直降,live_room,online_flagship,new_customer,completed,8900,1800,500,0,4300
byte_full_funnel_sale_o_0399,byte_full_funnel_sale_u_0399,2026-06-12T12:43:00,byte_full_funnel_sale,直播组合包,live_room,online_flagship,returning_customer,completed,11900,1200,700,0,5500
byte_full_funnel_sale_o_0403,byte_full_funnel_sale_u_0403,2026-06-16T16:47:00,byte_full_funnel_sale,直播组合包,short_video,regional_store,new_customer,completed,11900,1200,700,0,5500
